Track Name,Artist Name,Album Name
Holding Back the Years,Simply Red,
Die Eine,Die Firma,
1000 und 1 Nacht,Klaus Lage,
"Marmor, Stein und Eisen bricht",Drafi Deutscher,
Why,Annie Lennox,
Under Pressure,"Queen, David Bowie",
Numb / Encore,"JAY-Z, Linkin Park",
Good Vibrations,The Beach Boys,
Ain't That A Shame,Fats Domino,
Das Boot,U96,
Praise You,Fatboy Slim,
Could I Have This Kiss Forever,"Enrique Iglesias, Whitney Houston",
Major Tom (Völlig lösgelöst),Peter Schilling,
Where Is The Love?,Black Eyed Peas,
It Wasn't Me,"Shaggy, Rik Rok",
It's In The Kiss (The Shoop Shoop Song),Betty Everett,
I Got You (I Feel Good),James Brown & The Famous Flames,
Lonely,Akon,
Super Freak,Rick James,
Tränen lügen nicht,Michael Holm,
When a Man Loves a Woman,Percy Sledge,
Blue Bayou,Linda Ronstadt,
Jolene,Dolly Parton,
Like a Prayer,MadHouse,
That's Amore,Dean Martin,
Piano Man,Billy Joel,
Er hat ein knallrotes Gummiboot,Wencke Myhre,
Space Oddity,David Bowie,
Scars To Your Beautiful,Alessia Cara,
Get Back,The Beatles,
Waka Waka (This Time for Africa) ft. Freshlyground,Shakira,
Let's Stick Together,Bryan Ferry,
Put Your Records On,Corinne Bailey Rae,
Ice Ice Baby,Vanilla Ice,
When I Need You,Leo Sayer,
Vom selben Stern,Ich + Ich,
"Hey, Soul Sister",Train,
Can't Help Falling in Love,Elvis Presley,
Call on Me,Eric Prydz,
I Heard It Through The Grapevine,Marvin Gaye,
Ein Bett Im Kornfeld,Jürgen Drews,
Dancing in the Moonlight,Toploader,
Escape (The Pina Colada Song),Rupert Holmes,
Thunder,Imagine Dragons,
"Oh, Pretty Woman",Roy Orbison,
Lollipop,The Chordettes,
No Woman No Cry,Bob Marley & The Wailers,
Respect,Aretha Franklin,
You Can Get It If You Really Want,Jimmy Cliff,
Wooly Bully,Sam The Sham & The Pharaohs,
Fireflies,Owl City,
