Artist,Title,Year,YouTube URL
Bill Haley & His Comets,(We're Gonna) Rock Around The Clock,1954,https://www.youtube.com/watch?v=hzYBEJgKjv0
Kim Carnes,Bette Davis Eyes,1981,https://www.youtube.com/watch?v=EPOIS5taqA8
Kaoma,Lambada,1989,https://www.youtube.com/watch?v=iyLdoQGBchQ
"Rufus, Chaka Khan",Ain't Nobody,1983,https://www.youtube.com/watch?v=uBnISf3Rjx8
Creedence Clearwater Revival,Have You Ever Seen The Rain,1971,https://youtu.be/u1V8YRJnr4Q?t=16
"Bill Medley, Jennifer Warnes",(I've Had) The Time of My Life,1987,https://www.youtube.com/watch?v=4BQLE_RrTSU
Eros Ramazzotti,Piu bella cosa,1996,https://www.youtube.com/watch?v=eTOKcxIujgE
Genesis,No Son Of Mine,1991,https://www.youtube.com/watch?v=cddQn1mZRfI
Pharrell Williams,Happy,2013,https://www.youtube.com/watch?v=ZbZSe6N_BXs
Oasis,Wonderwall,1995,https://www.youtube.com/watch?v=FVdjZYfDuLE
The Supremes,You Can't Hurry Love,1966,https://www.youtube.com/watch?v=nq_TX5ZR0rU
"Kanye West, Jamie Foxx",Gold Digger,2005,https://www.youtube.com/watch?v=6vwNcNOTVzY
Markus,Ich will Spass,1982,https://www.youtube.com/watch?v=UW7lB7p0Eow
Modjo,Lady - Hear Me Tonight,2000,https://www.youtube.com/watch?v=vRB1MLGEHSc
Fine Young Cannibals,She Drives Me Crazy,1988,https://www.youtube.com/watch?v=UtvmTu4zAMg
Freddy Quinn,Heimweh (Dort wo die Blumen blüh'n),1956,https://www.youtube.com/watch?v=CNwsXRsvVWE
Dschinghis Khan,Moskau,1979,https://www.youtube.com/watch?v=lyuFLU2Zqz0
Rednex,Cotton Eye Joe,1994,https://www.youtube.com/watch?v=mOYZaiDZ7BM
Billy Swan,I Can Help,1974,https://www.youtube.com/watch?v=bgPsM-YWBrE
Bruce Springsteen,Dancing In the Dark,1984,https://www.youtube.com/watch?v=129kuDCQtHs
Harry Belafonte,Day-O (The Banana Boat Song),1956,https://www.youtube.com/watch?v=YO7M0Hx_1D8
Gitte Haenning,Ich will 'nen Cowboy als Mann,1963,https://www.youtube.com/watch?v=zOcyefACvws
Miley Cyrus,Wrecking Ball,2013,https://www.youtube.com/watch?v=My2FRPA3Gf8
Elvis Presley,Jailhouse Rock,1957,https://www.youtube.com/watch?v=PpsUOOfb-vE
Little Richard,Good Golly Miss Molly,1958,https://www.youtube.com/watch?v=ZVQV-1Fzl3w
Las Ketchup,The Ketchup Song,2002,https://www.youtube.com/watch?v=V0PisGe66mY
MIKA,"Relax, Take It Easy",2007,https://www.youtube.com/watch?v=RVmG_d3HKBA
The Monkees,I'm a Believer,1966,https://www.youtube.com/watch?v=4PQAqprjOuA
Manuela,Schuld war nur der Bossa Nova,1963,https://www.youtube.com/watch?v=Gnmq27MCkFY
"Icona Pop, Charli XCX",I Love It (feat. Charli XCX),2012,https://www.youtube.com/watch?v=UxxajLWwzqY
Bob Sinclair,World Hold on (Children of the Sky),2006,https://www.youtube.com/watch?v=XpdpW0z9xnQ
Steppenwolf,Born To Be Wild,1968,https://www.youtube.com/watch?v=93fAJe8WVjA
"Mark Ronson, Amy Winehouse",Valerie (feat. Amy Winehouse),2007,https://www.youtube.com/watch?v=bixuI_GV5I0
Sam Cooke,(What A) Wonderful World,1960,https://www.youtube.com/watch?v=R4GLAKEjU4w
Herbert Grönemeyer,Männer,1984,https://www.youtube.com/watch?v=UEJNMkEr1Ls
New Radicals,You Get What You Give,1998,https://www.youtube.com/watch?v=DL7-CKirWZE
Heintje,Mama,1968,https://www.youtube.com/watch?v=u0yqKrGKukE
Celine Dion,My Heart Will Go On,1997,https://www.youtube.com/watch?v=9bFHsd3o1w0
Lionel Richie,Dancing On The Ceiling,1986,https://www.youtube.com/watch?v=ovo6zwv6DX4
KC & The Sunshine Band,Give It Up,1982,https://www.youtube.com/watch?v=N2Gi4Y4JzOA
Robbie Williams,Feel,2002,https://www.youtube.com/watch?v=iy4mXZN1Zzk
Nickelback,How You Remind Me,2001,https://www.youtube.com/watch?v=hhSLkkLl750
George Harrison,Got My Mind Set On You,1987,https://www.youtube.com/watch?v=SuJuJA5k44Y
Matthias Reim,Verdammt lch lieb' dich,1990,https://www.youtube.com/watch?v=fKV_Ma9T5N8
Reel 2 Real,I Like To Move It,1993,https://www.youtube.com/watch?v=_NkpHLq76ro
The Human League,Don't You Want Me,1981,https://www.youtube.com/watch?v=uPudE8nDog0
Die Ärzte,Westerland,1988,https://www.youtube.com/watch?v=G-NrSn3K6gM
The Police,Every Breath You Take,1983,https://www.youtube.com/watch?v=OMOGaugKpzs
The Verve,Bitter Sweet Symphony,1997,https://www.youtube.com/watch?v=1lyu1KKwC74
Will Smith,Gettin' Jiggy Wit It,1998,https://www.youtube.com/watch?v=3JcmQONgXJM
Aqua,Barbie Girl,1997,https://www.youtube.com/watch?v=ZyhrYis509A
Cornelia Froboess,Pack Die Badehose Ein,1951,https://www.youtube.com/watch?v=Jq755GRl4E0
Natalie Imbruglia,Torn,1997,https://www.youtube.com/watch?v=UOJkzcJigGI
Dion,The Wanderer,1961,https://www.youtube.com/watch?v=SbYa7NBYyRc
Ritchie Valens,La Bamba,1958,https://www.youtube.com/watch?v=t-L19Qt-ozI
"Maroon 5, Christina Aguilera",Moves Like Jagger,2011,https://www.youtube.com/watch?v=iEPTlhBmwRg
Helene Fischer,Atemlos durch die Nacht,2013,https://www.youtube.com/watch?v=haECT-SerHk
Spice Girls,Stop,1998,https://www.youtube.com/watch?v=5JD6ejmlpa8
Jennifer Lopez,If You Had My Love,1999,https://www.youtube.com/watch?v=lYfkl-HXfuU
Boston,More Than a Feeling,1976,https://www.youtube.com/watch?v=DCZNFmHJbV8
The Trammps,Disco Inferno,1976,https://www.youtube.com/watch?v=pG8TyIEAqps
Die Doofen,"MIEF! (Nimm mich jetzt, auch wenn ich stinke)",1995,https://www.youtube.com/watch?v=gyrMA-pu6y8
Guns N' Roses,Sweet Child O' Mine,1988,https://www.youtube.com/watch?v=1w7OgIMMRc4
Elton John,Your Song,1970,https://www.youtube.com/watch?v=FT3D1Cu6g10
Cliff Richard,Congratulations,1968,https://www.youtube.com/watch?v=770f-pwPe4o
Carly Simon,You're So Vain,1972,https://www.youtube.com/watch?v=j13oJajXx0M
Commodores,Easy,1977,https://www.youtube.com/watch?v=0XRrYgByp28
Alphaville,Forever Young,1984,https://www.youtube.com/watch?v=t1TcDHrkQYg
Daryl Hall & John Oates,Maneater,1982,https://www.youtube.com/watch?v=yRYFKcMa_Ek
Falco,Rock Me Amadeus,1985,https://www.youtube.com/watch?v=OKxBk4V79Co
Sonny & Cher,I Got You Babe,1965,https://www.youtube.com/watch?v=HKGjCPBSG38
Die Ärzte,Junge,2007,https://www.youtube.com/watch?v=iK-1oGphELM
Fleetwood Mac,Everywhere,1987,https://www.youtube.com/watch?v=YF1R0hc5Q2I
The Cranberries,Zombie,1994,https://www.youtube.com/watch?v=6Ejga4kJUts
Duck Sauce,Barbra Streisand,2010,https://www.youtube.com/watch?v=wWhtcU4-xAM
Alicia Keys,No One,2007,https://www.youtube.com/watch?v=rywUS-ohqeE
"George Michael, Aretha Franklin",I Knew You Were Waiting (For Me),1987,https://www.youtube.com/watch?v=fDxzQJaA228
Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!)",1975,https://www.youtube.com/watch?v=mTUhnIY3oRM
Madonna,4 Minutes (feat. Justin Timberlake and Timbaland),2008,https://www.youtube.com/watch?v=aAQZPBwz2CI
Kraftwerk,Autobahn,1974,https://www.youtube.com/watch?v=MOaDUBxAoVI
Tom Jones,She's A Lady,1971,https://www.youtube.com/watch?v=x8G4xrYfWmw
Fugees,Killing Me Softly With His Song,1996,https://www.youtube.com/watch?v=oKOtzIo-uYw
Britney Spears,Oops!...I Did It Again,2000,https://www.youtube.com/watch?v=CduA0TULnow
Tim Bendzko,Nur noch kurz die Welt retten,2011,https://www.youtube.com/watch?v=4BAKb2p450Q
Jason Derulo,Whatcha Say,2009,https://www.youtube.com/watch?v=pBI3lc18k8Q
Pur,Abenteuerland,1995,https://www.youtube.com/watch?v=XC-HspEa2vs
Coldplay,Talk,2005,https://www.youtube.com/watch?v=EH9meoWmAOM
Gotye,Somebody That I Used to Know (feat. Kimbra),2011,https://www.youtube.com/watch?v=8UVNT4wvIGY
Tracy Chapman,Fast Car,1988,https://www.youtube.com/watch?v=AIOAlaACuv4
Mike + The Mechanics,The Living Years,1988,https://www.youtube.com/watch?v=5hr64MxYpgk
Buddy,Ab in den Süden,2003,https://www.youtube.com/watch?v=q5WdWSpz1vQ
Brandy & Monica,The Boy Is Mine,1998,https://www.youtube.com/watch?v=qSIOp_K5GMw
The Everly Brothers,All I Have to Do Is Dream,1958,https://www.youtube.com/watch?v=56cKlT62wrQ
The Beach Boys,Surfin' U.S.A.,1963,https://www.youtube.com/watch?v=KcZn05qxVgg
Atomic Kitten,Whole Again,2001,https://www.youtube.com/watch?v=1V0xQkk9kbc
Richard Marx,Right Here Waiting,1989,https://www.youtube.com/watch?v=S_E2EHVxNAE
Unheilig,Geboren um zu leben,2010,https://www.youtube.com/watch?v=1YOovPkiMrk
SDP feat. Sido,Die Nacht von Freitag auf Montag,2012,https://www.youtube.com/watch?v=388e_8mu1t4
Alicia Keys,Fallin',2001,https://www.youtube.com/watch?v=Urdlvw0SSEc
Christina Aguilera,Genie In A Bottle,1999,https://www.youtube.com/watch?v=kIDWgqDBNXA
Loreen,Euphoria,2012,https://www.youtube.com/watch?v=t5qURKt4maw
TOTO,Africa,1982,https://www.youtube.com/watch?v=FTQbiNvZqaY
Danny & The Juniors,At The Hop,1957,https://www.youtube.com/watch?v=SEPvoNA1OGw
Culture Beat,Mr. Vain,1993,https://www.youtube.com/watch?v=VAmq5-wcLHE
"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made Of This),1983,https://www.youtube.com/watch?v=qeMFqkcPYcg
Crowded House,Don't Dream It's Over,1986,https://www.youtube.com/watch?v=J9gKyRmic20
Prince,Purple Rain,1984,https://www.youtube.com/watch?v=edDiY323768
John Legend,All of Me,2013,https://www.youtube.com/watch?v=450p7goxZqg
Connie Francis,Schöner fremder Mann,1964,https://www.youtube.com/watch?v=X6OUwtI9J5E
Wet Wet Wet,Love Is All Around,1994,https://www.youtube.com/watch?v=h3gEkwhdXUE
Coolio feat. L.V.,Gangsta's Paradise,1995,https://www.youtube.com/watch?v=SQCSxqScSVQ
Bill Haley & His Comets,See You Later Alligator,1956,https://www.youtube.com/watch?v=Y5b2R6SE26Y
House Of Pain,Jump Around,1992,https://www.youtube.com/watch?v=jrL_LzX5wv4
Sinéad O'Connor,Nothing Compares 2 U,1990,https://www.youtube.com/watch?v=0-EF60neguk
Rammstein,Engel,1997,https://www.youtube.com/watch?v=x2rQzv8OWEY
Kelly Clarkson,Because of You,2005,https://www.youtube.com/watch?v=Ra-Om7UMSJc
Echt,Du trägst keine Liebe in dir,1999,https://www.youtube.com/watch?v=7fUpaXxPgMI
Stevie Wonder,Part-Time Lover,1985,https://www.youtube.com/watch?v=MpDM6ygsb20
Dire Straits,Walk Of Life,1985,https://www.youtube.com/watch?v=kd9TlGDZGkI
Ace of Base,All That She Wants,1992,https://www.youtube.com/watch?v=d73tiBBzvFM
Die Prinzen,Alles nur geklaut,1993,https://www.youtube.com/watch?v=yMR45cZbvDw
ABBA,Waterloo,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4
Bryan Adams,Heaven,1985,https://www.youtube.com/watch?v=s6TtwR2Dbjg
Tokio Hotel,Durch den Monsun,2005,https://www.youtube.com/watch?v=S_Sy5-sOodA
Little Eva,The Locomotion,1962,https://www.youtube.com/watch?v=HiN03MTBCYo
Nirvana,Smells Like Teen Spirit,1991,https://www.youtube.com/watch?v=hTWKbfoikeg
Lenny Kravitz,Fly Away,1998,https://www.youtube.com/watch?v=EvuL5jyCHOw
Bronski Beat,Smalltown Boy,1984,https://www.youtube.com/watch?v=88sARuFu-tc
Johnny Cash,Ring of Fire,1963,https://www.youtube.com/watch?v=1WaV2x8GXj0
Nancy Sinatra,These Boots Are Made for Walkin',1965,https://www.youtube.com/watch?v=GM1kzbAgo_E
Jessie J,Price Tag ft. B.o.B,2011,https://www.youtube.com/watch?v=qMxX-QOV9tI
"Caterina Valente, Silvio Francesco",Itsy Bitsy Teenie Weenie Honolulu Strand Bikini,1960,https://www.youtube.com/watch?v=xxSPQGaGqd0
Snow,Informer,1992,https://www.youtube.com/watch?v=TSffz_bl6zo
Silbermond,Das Beste,2006,https://www.youtube.com/watch?v=LyYAQHDMqfA
Kool & The Gang,Celebration,1980,https://www.youtube.com/watch?v=3GwjfUFyY6M
Cher,Believe,1998,https://www.youtube.com/watch?v=nZXRV4MezEw
Amii Stewart,Knock On Wood,1979,https://www.youtube.com/watch?v=oLS57N4kUN0
Duffy,Mercy,2008,https://www.youtube.com/watch?v=y7ZEVA5dy-Y
Sister Sledge,We Are Family,1979,https://www.youtube.com/watch?v=lJh4L8NMHfw
Mungo Jerry,In the Summertime,1970,https://www.youtube.com/watch?v=wvUQcnfwUUM
Mark Morrison,Return of the Mack,1996,https://www.youtube.com/watch?v=uB1D9wWxd2w
Bill Ramsey,Zuckerpuppe (Aus der Bauchtanz-Truppe),1961,https://www.youtube.com/watch?v=udkFht8LtP0
Vaya Con Dios,Nah Neh Nah,1990,https://www.youtube.com/watch?v=VMakqYyrd3s
Fettes Brot,Emanuela,2005,https://www.youtube.com/watch?v=rigxc8puTts
Spider Murphy Gang,Skandal im Sperrbezirk,1981,https://www.youtube.com/watch?v=u-AwlK_wBJ8
Bon Jovi,It's My Life,2000,https://youtu.be/vx2u5uUu3DE?t=25
Caterina Valente,Ganz Paris Träumt Von Der Liebe,1954,https://www.youtube.com/watch?v=uhVP418YR_8
Beyoncé,Crazy In Love (feat. Jay-Z),2003,https://www.youtube.com/watch?v=ViwtNLUqkMY
Freddy Quinn,Die Gitarre und das Meer,1959,https://www.youtube.com/watch?v=3y57Xi5crxA
Eagle-Eye Cherry,Save Tonight,1997,https://www.youtube.com/watch?v=Nntd2fgMUYw
Simply Red,Holding Back the Years,1985,https://www.youtube.com/watch?v=yG07WSu7Q9w
Die Firma,Die Eine,1998,https://www.youtube.com/watch?v=B_UubU2rxJw
Klaus Lage,1000 und 1 Nacht,1984,https://www.youtube.com/watch?v=s-Sqe30hn4U
Drafi Deutscher,"Marmor, Stein und Eisen bricht",1965,https://www.youtube.com/watch?v=BTmtOd4mpco
Annie Lennox,Why,1992,https://www.youtube.com/watch?v=HG7I4oniOyA
"Queen, David Bowie",Under Pressure,1981,https://www.youtube.com/watch?v=a01QQZyl-_I
"JAY-Z, Linkin Park",Numb / Encore,2004,https://www.youtube.com/watch?v=Ptgu47t9rKk
The Beach Boys,Good Vibrations,1966,https://www.youtube.com/watch?v=apBWI6xrbLY
Fats Domino,Ain't That A Shame,1955,https://www.youtube.com/watch?v=U4uWi7-5iQg
U96,Das Boot,1992,https://www.youtube.com/watch?v=YVxXbTk-zsQ
Fatboy Slim,Praise You,1999,https://www.youtube.com/watch?v=ruAi4VBoBSM
"Enrique Iglesias, Whitney Houston",Could I Have This Kiss Forever,2000,https://www.youtube.com/watch?v=zsfj9j0kjoU
Peter Schilling,Major Tom (Völlig lösgelöst),1982,https://www.youtube.com/watch?v=vr_UK0tSb8M
Black Eyed Peas,Where Is The Love?,2003,https://www.youtube.com/watch?v=WpYeekQkAdc
"Shaggy, Rik Rok",It Wasn't Me,2000,https://www.youtube.com/watch?v=sTMgX1PDGAE
Betty Everett,It's In The Kiss (The Shoop Shoop Song),1964,https://www.youtube.com/watch?v=5XOVJsJAIW0
James Brown & The Famous Flames,I Got You (I Feel Good),1965,https://www.youtube.com/watch?v=3C6pGF43L7Q
Akon,Lonely,2005,https://www.youtube.com/watch?v=6EEW-9NDM5k
Rick James,Super Freak,1981,https://www.youtube.com/watch?v=QYHxGBH6o4M
Michael Holm,Tränen lügen nicht,1974,https://www.youtube.com/watch?v=NFyk4D7a0cY
Percy Sledge,When a Man Loves a Woman,1966,https://www.youtube.com/watch?v=KwPxhWU1koE
Linda Ronstadt,Blue Bayou,1977,https://www.youtube.com/watch?v=IDBVW4BXZPo
Dolly Parton,Jolene,1973,https://www.youtube.com/watch?v=Ixrje2rXLMA
MadHouse,Like a Prayer,2002,https://www.youtube.com/watch?v=4v2SXG_fkWg
Dean Martin,That's Amore,1953,https://www.youtube.com/watch?v=RUz1pZ_LujU
Billy Joel,Piano Man,1973,https://www.youtube.com/watch?v=gxEPV4kolz0
Wencke Myhre,Er hat ein knallrotes Gummiboot,1970,https://www.youtube.com/watch?v=YJrQiv-FHEg
David Bowie,Space Oddity,1969,https://www.youtube.com/watch?v=iYYRH4apXDo
Alessia Cara,Scars To Your Beautiful,2016,https://www.youtube.com/watch?v=MWASeaYuHZo
The Beatles,Get Back,1969,https://www.youtube.com/watch?v=YEESfv-11ng
Shakira,Waka Waka (This Time for Africa) ft. Freshlyground,2010,https://www.youtube.com/watch?v=Ntn1-SocNiY
Bryan Ferry,Let's Stick Together,1976,https://www.youtube.com/watch?v=Z9EbR0ckb40
Corinne Bailey Rae,Put Your Records On,2006,https://www.youtube.com/watch?v=rjOhZZyn30k
Vanilla Ice,Ice Ice Baby,1990,https://www.youtube.com/watch?v=rog8ou-ZepE
Leo Sayer,When I Need You,1977,https://www.youtube.com/watch?v=obC0MFHWJ0A
Ich + Ich,Vom selben Stern,2007,https://www.youtube.com/watch?v=cDoHZb9vCs4
Train,"Hey, Soul Sister",2009,https://www.youtube.com/watch?v=kVpv8-5XWOI
Elvis Presley,Can't Help Falling in Love,1961,https://www.youtube.com/watch?v=vGJTaP6anOU
Eric Prydz,Call on Me,2004,https://www.youtube.com/watch?v=L_fCqg92qks
Marvin Gaye,I Heard It Through The Grapevine,1968,https://www.youtube.com/watch?v=VWG3npfEoHo
Jürgen Drews,Ein Bett Im Kornfeld,1976,https://www.youtube.com/watch?v=XqX0720VTRY
Toploader,Dancing in the Moonlight,2000,https://www.youtube.com/watch?v=GSWcy-bx_lg
Rupert Holmes,Escape (The Pina Colada Song),1979,https://www.youtube.com/watch?v=FXG_I_tf_i4
Imagine Dragons,Thunder,2017,https://www.youtube.com/watch?v=fKopy74weus
Roy Orbison,"Oh, Pretty Woman",1964,https://www.youtube.com/watch?v=3KFvoDDs0XM
The Chordettes,Lollipop,1958,https://www.youtube.com/watch?v=sGH7aWA49DQ
Bob Marley & The Wailers,No Woman No Cry,1974,https://www.youtube.com/watch?v=IT8XvzIfi4U
Aretha Franklin,Respect,1967,https://www.youtube.com/watch?v=9iayJ8u4Qew
Jimmy Cliff,You Can Get It If You Really Want,1970,https://www.youtube.com/watch?v=75OuJvXsENQ
Sam The Sham & The Pharaohs,Wooly Bully,1965,https://www.youtube.com/watch?v=3UttAR8DnFY
Owl City,Fireflies,2009,https://www.youtube.com/watch?v=psuRGfAaju4
